Recipe	Batch Size	Ingredient	Quantity (kg)	Step / Section	Process Notes
MAPLE 300KG	300 kg	Vanilla Essence	0.01	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
MAPLE 300KG	300 kg	Salt	0.1	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
MAPLE 300KG	300 kg	Cinnamon	1.0	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
MAPLE 300KG	300 kg	Soaked Pecans	SPLIT	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
MAPLE 300KG	300 kg	Soaked Walnuts	SPLIT	While maple is simmering, add the following ingredients to each pot then reduce to 400W for 10 mins	
Teriyaki Recipe = 400kg	400 kg	Almonds Raw	100.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	Assembly: Soaking; Sauce Procedure - STEP 1 | Cooking: Sauce Procedure - STEP 2; Blending with Paint stirer; Adding to Rice Malt; Dehydrating step | Mixing: Silver Basin ingredients; Sauce Mixture | Bucketing: Bucketing | Sauce Procedure - STEP 1 (5 x 20Lt buckets) | 1. Add to 5 x 20Ltr buckets the following..mix with Paint stirer until well combined | 1. Once rice malt has boiled for 15 secs, add one bucket of sauce to each pot and continue to boil  for an additional | 3. Once both rice malt/ sauce mixture is boiling , add the blended mixtures to each boiling sauce . | 4. Once blended ingredients are added reduce heat to 400w and stir through for approx 2 minutes, then turn off heat. | 2. Weigh out left over dust in buckets. Split evenly with batches. | (MAX HALF BUCKET OF DUST PER BATCH) | 4. Add sauce mixture to each basin, Mix untill all ingredients are covered in sauce | 1. Lay mixed ingredients on dehydrating trays with a 3lt measuring jug as thin as possible, leaving a 2inch boarder around the edge | Dehydrate for 48 hours at 55*C | Using a metal scoop, fill buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Teriyaki Recipe = 400kg	400 kg	Salt	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Apple cider vinegar	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Walnuts Raw	100.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Salt	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Apple cider vinegar	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Sesame Oil	1.6	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Tamari - Salt Reduced	8.0	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Ginger powder	0.2	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Garlic powder	0.2	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Rice malt	6.0	Heat in 5 large pots for 10-11 mins at 3000w (till boiling for 15 secs)	
Teriyaki Recipe = 400kg	400 kg	Tamari	1.0	2. Add below ingredients to blender and blend well. Repeat for each pot of sauce ( 5 times total)	
Teriyaki Recipe = 400kg	400 kg	Tapicoa Starch	0.5	2. Add below ingredients to blender and blend well. Repeat for each pot of sauce ( 5 times total)	
Teriyaki Recipe = 400kg	400 kg	Soaked Walnuts	Split into 5	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Soaked Almonds	Split into 5	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Sesame Seed	3.0	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Act. Lentils	10.0	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Almonds Raw	100.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	Assembly: Soaking; Sauce Procedure - STEP 1 | Cooking: Sauce Procedure - STEP 2; Blending with Paint stirer; Adding to Rice Malt; Dehydrating step | Mixing: Silver Basin ingredients; Sauce Mixture | Bucketing: Bucketing | Sauce Procedure - STEP 1 (5 x 20Lt buckets) | 1. Add to 5 x 20Ltr buckets the following..mix with Paint stirer until well combined | 1. Once rice malt has boiled for 15 secs, add one bucket of sauce to each pot and continue to boil  for an additional | 3. Once both rice malt/ sauce mixture is boiling , add the blended mixtures to each boiling sauce . | 4. Once blended ingredients are added reduce heat to 400w and stir through for approx 2 minutes, then turn off heat. | 2. Weigh out left over dust in buckets. Split evenly with batches. | (MAX HALF BUCKET OF DUST PER BATCH) | 4. Add sauce mixture to each basin, Mix untill all ingredients are covered in sauce | 1. Lay mixed ingredients on dehydrating trays with a 3lt measuring jug as thin as possible, leaving a 2inch boarder around the edge | Dehydrate for 48 hours at 55*C | Using a metal scoop, fill buckets (Silica on the top of bucket), place lid on tightly, write product and date on bucket lid
Teriyaki Recipe = 400kg	400 kg	Salt	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Apple cider vinegar	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Walnuts Raw	100.0	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Salt	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Apple cider vinegar	0.025	Soak the night before, (12 HOUR SOAK, open tap in the morning)	
Teriyaki Recipe = 400kg	400 kg	Sesame Oil	1.6	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Tamari - Salt Reduced	8.0	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Ginger powder	0.2	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Garlic powder	0.2	Repeat this process 5 times total	
Teriyaki Recipe = 400kg	400 kg	Rice malt	6.0	Heat in 5 large pots for 10-11 mins at 3000w (till boiling for 15 secs)	
Teriyaki Recipe = 400kg	400 kg	Tamari	1.0	2. Add below ingredients to blender and blend well. Repeat for each pot of sauce ( 5 times total)	
Teriyaki Recipe = 400kg	400 kg	Tapicoa Starch	0.5	2. Add below ingredients to blender and blend well. Repeat for each pot of sauce ( 5 times total)	
Teriyaki Recipe = 400kg	400 kg	Soaked Walnuts	Split into 5	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Soaked Almonds	Split into 5	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Sesame Seed	3.0	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Act. Lentils	10.0	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Teriyaki Recipe = 400kg	400 kg	Blended Wakame	0.1	1. In 5 large silver basins, split soaked nuts using 20L bucket and ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Walnuts	40.0	Soak the following ingredient night before	Assembly: coconut chip procedure; soaking | Mixing: Silver basin; Colloid Mill procedure | Cooking: Laying Step 1; Laying Step 2; Cooking in oven | Bucketing: Bucketing in 20lr buckets | Soak the following ingredients in a soaking basin 6 hours prior to mixing | 1. Wash and rinse all ingredients several times throughout soaking. | 2. Once ingredients have soaked for 6 hours, drain water and rinse again with water while draining. | 1. Mix ingredients with paint stirer before pouring through Colloid Mill. | 2. Once ingredients are mixed well, place a blue tub and scale under tap of colloid mill , then pour ingredients through Colloid Mill into blue tubs ( 41.05kg each tub) | Mix all ingredients until well covered | ( add 3kg now and 3kg after sauce is added) | 1. Divide all soaked ingredients between the 4 basins after drained. | 2. Weigh out left over dust in buckets. Split evenly with basins. | (MAX HALF BUCKET OF DUST PER BATCH) | 3. Mix all soaked and dry ingredients within each basin | 4. Add 1 blue tub of sauce to each basin ( 41.05kg) | 5. Mix each basin thoroughly and add remaining 3 kg puff sorghum | Using a 3Lt scoop, lay product on dehydrating trays and dehydrate on 55C for 48hours | Once product is cooked, use a paint scraper to scrape product into a black tub that is placed onto a kitchen scale, | After this is completed, using the silver scoop with handle, bucket the clusters into 20ltr buckets placing silica ontop of product | Date the lid and put away in designated area of warehouse
Chocolate Cluster = 300kg	300 kg	Buckwheat Kernals	30.0	Soak the following ingredient night before	
Chocolate Cluster = 300kg	300 kg	Pepitas	6.0	Soak the following ingredient night before	
Chocolate Cluster = 300kg	300 kg	Pecans	6.0	Soak the following ingredient night before	
Chocolate Cluster = 300kg	300 kg	Warm water	60.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Coconut Milk Powder	20.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Maple Syrup	50.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Vanilla	0.4	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Nut Butter	24.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Cinnamon Powder	0.8	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Ginger Powder	1.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Cacao Powder	3.6	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Nutmeg	0.1	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Cooking Salt	0.3	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Cacao Paste	4.0	Add the following to 1 large silver basin and mix with paint stirer	
Chocolate Cluster = 300kg	300 kg	Sorghum Puffs	6.0	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Oats	3.0	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Rasperries	2.0	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Diced Dates	4.0	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Cherries	4.0	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Cacao Nibs	1.2	In 4 large silver basins, ADD the following ingredients	
Chocolate Cluster = 300kg	300 kg	Int. ICCC	12.0	In 4 large silver basins, ADD the following ingredients	
Chocolate cluster coconut = 60kg	60 kg	Davidson Plum	20.0	Blend the following ingredient in food processor till a pulp	DEFROST PLUMS NIGHT BEFORE IN COOLROOM | Lay on dehydtrating trays with a 3ltr scoop  and dehydrate on 65C for 24hours
Chocolate cluster coconut = 60kg	60 kg	Blended Davidson Plum	20.0	Mix with Paint stirer the following ingredients in a blue tubs	
Chocolate cluster coconut = 60kg	60 kg	Beetroot Powder	2.0	Mix with Paint stirer the following ingredients in a blue tubs	
Chocolate cluster coconut = 60kg	60 kg	Water	14.0	Mix with Paint stirer the following ingredients in a blue tubs	
Chocolate cluster coconut = 60kg	60 kg	Coconut Chips	40.0	Mix this product with following ingredient until all covered.	
Caramel Cluster Recipe = 320kg	320 kg	Walnuts	40.0	Soak overnight the following ingredient	Assembly: Cold brew coffee Procedure; Soaking Nuts | Mixing: Silver basin Ingredients; colloid mill procedure; Paints stirer | Cooking: Laying; Cooking in oven | Bucketing: Bucketing in 20ltr buckets | 1. Day prior to assembly, soak 1kg ground coffee in 60kg water to make cold brew coffee. | Soak 7hrs prior to assembly: | Wash and rinse soaked ingredients several times throughout soaking process | Once ingredients have been soaked for 5 hours, drain water and rinse again with water while draining. | 1. Once ingredients are mixed well, place a blue tub and scale under tap of colloid mill, then pour ingredients through Colloid Mill into 4 blue tubs, each portion of sauce weighing approx 39.3kg each | 1. Divide all soaked ingredients between the 4 basins | 2. Weigh out left over dust in buckets. Split evenly with batches. | (MAX HALF BUCKET OF DUST PER BATCH) | 3.  Mix all soaked and dry ingredients within each basin | 4. Pour 1 blue tub of sauce ( 39.3kg) into each basin and mix again thoroughly | Using a 3Lt scoop, lay product on dehydrating trays and dehydrate on 55C for 48hours | Once product is dehydrated, use a paint scraper to scrape product into a black tub that is placed onto a kitchen scale, | After this is completed, using the silver scoop with handle, bucket the clusters into 20ltr buckets placing silica ontop of product | Date the lid and put away in designated area of warehouse
Caramel Cluster Recipe = 320kg	320 kg	Buckwheat	28.0	Soak overnight the following ingredient	
Caramel Cluster Recipe = 320kg	320 kg	Pepitas	4.0	Soak overnight the following ingredient	
Caramel Cluster Recipe = 320kg	320 kg	Cold brew coffee	61.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Tamari	0.4	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Maple Syrup	48.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Coconut milk powder	16.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Nut Butter	24.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Clove whole	0.02	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Wattleseed	1.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Cinnamon Powder	2.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Ginger Powder	2.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Cacao Powder	2.0	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Maca Powder	0.4	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Mesquite Powder	0.4	Add to large silver basin and mix with paint stirer	
Caramel Cluster Recipe = 320kg	320 kg	Sorghum Puffs	5.0	In 4 large silver basins, ADD the following ingredients to each basin	
Caramel Cluster Recipe = 320kg	320 kg	Coconut Chips	3.0	In 4 large silver basins, ADD the following ingredients to each basin	
Caramel Cluster Recipe = 320kg	320 kg	Sesame seeds	2.0	In 4 large silver basins, ADD the following ingredients to each basin	
Caramel Cluster Recipe = 320kg	320 kg	Activated Hazelnuts	5.0	In 4 large silver basins, ADD the following ingredients to each basin	
Caramel Cluster Recipe = 320kg	320 kg	Oats	2.5	In 4 large silver basins, ADD the following ingredients to each basin	
Caramel Cluster Recipe = 320kg	320 kg	Diced Dates	5.0	In 4 large silver basins, ADD the following ingredients to each basin	
Seed Mix = 60kg	60 kg	Activated Sunflower seeds	21.0	In a silver basin add the following	Weighing: Dry Ingredients | Mixing: In blue tub | Bucketing: Bucket into 20ltr buckets | Mix all of the ingredients well | Bucket seed mix into 20ltr tubs until full | Place lid on buckets and date the lid with date of manufacturing
Seed Mix = 60kg	60 kg	Linseed Organic	6.0	In a silver basin add the following	
Seed Mix = 60kg	60 kg	Chia seeds	6.0	In a silver basin add the following	
Seed Mix = 60kg	60 kg	Activated Pepitas	21.0	In a silver basin add the following	
Seed Mix = 60kg	60 kg	Sesame seeds	6.0	In a silver basin add the following	
DMTea = 20kg	20 kg	Ginko Leaf Organic	1.0	In 1 big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | PROCESS WHOLE STAR ANISE (IN FOOD PROCESSOR) INTO PIECES BEFORE ADDING TO BASIN | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
DMTea = 20kg	20 kg	Ginseng	0.25	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Bacopa/Brahmi	1.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Lemon Balm	1.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Ginger Root Cut	2.5	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Rhodiola Root	1.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Rosemary	0.75	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Gotu kola	1.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Hibiscus	2.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Star Anise	2.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Orange Peel	1.0	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Cinnamon chips	3.5	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Jasmine Bud	0.5	In 1 big silver basin, weigh the following ingredients	
DMTea = 20kg	20 kg	Rooibos	2.5	In 1 big silver basin, weigh the following ingredients	
DMTea = 30kg	30 kg	Ginko Leaf Organic	1.5	In a silver basin, add below ingredients and then mix WELL	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 30kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
DMTea = 30kg	30 kg	Ginseng	0.6	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Bacopa/Brahmi	1.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Lemon Balm	1.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Ginger Root Cut	3.0	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Rosemary	1.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Gotu kola	1.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Hibiscus	3.0	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Orange Peel	1.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Cinnamon chips	4.5	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Jasmine Bud	0.9	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Rooibos	6.0	In a silver basin, add below ingredients and then mix WELL	
DMTea = 30kg	30 kg	Star Anise	3.0	In a silver basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Passion Flower	3.0	In the large auger basin, add below ingredients and then mix WELL	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Chillax = 60kg	60 kg	Scullcap	1.5	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Lavender Flower	6.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Lemon Balm	6.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Jasmine Bud	4.5	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Chamomille	18.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Valerian	1.5	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Rose Petal	6.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Ashwagandha root	7.5	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Spearmint	3.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 60kg	60 kg	Licorice Root	3.0	In the large auger basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Passion Flower	1.5	In a silver basin, add below ingredients and then mix WELL	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 30kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Chillax = 30kg	30 kg	Scullcap	0.75	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Lavender Flower	3.0	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Lemon Balm	3.0	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Jasmine Bud	2.25	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Chamomille	9.0	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Valerian	0.75	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Rose Petal	3.0	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Ashwagandha root	3.75	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Spearmint	1.5	In a silver basin, add below ingredients and then mix WELL	
Chillax = 30kg	30 kg	Licorice Root	1.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 50 kg	50 kg	Juniper berries	1.5	In 2 silver basins, add the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
ImmuniTea 50 kg	50 kg	Reishi slices	0.4	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Tulsi	4.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Astragalus root	0.5	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Elderberry	3.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Oregano	0.2	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Olive leaf	0.2	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Ginger root cut	4.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Cinnamon chips	2.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Jasmine bud	3.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Fennel	1.0	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Peppermint	1.5	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Butterfly pea flower	0.25	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Dandelion leaf	1.5	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Chamomile	1.5	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Orange peel	0.2	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Licorice root	0.5	In 2 silver basins, add the following ingredients	
ImmuniTea 50 kg	50 kg	Scullcap	0.25	In 2 silver basins, add the following ingredients	
ImmuniTea 20 kg	20 kg	Juniper berries	1.0	In a silver basin, add below ingredients and then mix WELL	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 20kg | BEFORE ASSEMBLING - Blend Reishi slices to small bits in the food processor (3 pulses = 3 sec per pulse) | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
ImmuniTea 20 kg	20 kg	Reishi slices	0.2	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Tulsi	2.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Astragalus root	0.2	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Elderberry	1.0	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Oregano	0.2	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Olive leaf	0.2	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Ginger root cut	1.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Cinnamon chips	1.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Jasmine bud	2.0	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Fennel	1.0	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Peppermint	2.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Butterfly pea flower	0.3	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Dandelion leaf	3.0	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Chamomile	2.0	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Orange peel	0.2	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Licorice root	0.5	In a silver basin, add below ingredients and then mix WELL	
ImmuniTea 20 kg	20 kg	Scullcap	0.2	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 40kg	40 kg	Peppermint	5.0	In 2  big silver basin, weigh the following ingredients	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: Bucket into 20ltr buckets | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Once all ingredients are mixed well, fill 20ltr white buckets and place lid ontop | Date the lid with the date of manufacturing
Tummy Tea = 40kg	40 kg	Ginger Root Cut	2.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Fennel	2.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Marshmallow	2.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Barberry Bark	0.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Liquorice Root	3.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Gotu kola	0.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Cinnamon chips	2.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 40kg	40 kg	Cornflowers	0.5	In 2  big silver basin, weigh the following ingredients	
Tummy Tea = 30kg	30 kg	Peppermint	7.5	In a silver basin, add below ingredients and then mix WELL	Weighing: Dry Ingredients | Mixing: In silver basin | Bucketing: red or blue tubs | 1x silver basin for each batch of 30kg | ****Make sure to put on a face mask as the mixing process is very dusty and can be sensitive to your lungs**** | Mix all dry ingredients with hands (wearing green gloves) untill all product is mixed well and even. | Date the lid on tub with the date of manufacturing | Once all ingredients are mixed well, complete assembly in LB warehouse for packaging to TX
Tummy Tea = 30kg	30 kg	Ginger Root Cut	3.75	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Fennel	3.75	In a silver basin, add below ingredients and then mix WELL	
Tummy Tea = 30kg	30 kg	Marshmallow	3.75	In a silver basin, add below ingredients and then mix WELL	
